startup_name,category,pricing_model,target_users,features,competitors
MediPulse AI,Healthcare,Subscription,Hospitals,"Patient risk prediction; AI diagnostics; EMR insights","Epic Systems; Cerner; Tempus"
Finora Labs,Finance,Usage-based,Fintech startups,"Fraud detection; Expense analytics; Risk scoring","Stripe; Plaid; Brex"
SkillForge AI,Education,Freemium,College students,"AI mock interviews; Resume analysis; Coding practice","LeetCode; InterviewBit; HackerRank"
ShieldLayer,Cybersecurity,Enterprise,Enterprises,"Threat detection; Endpoint monitoring; Incident alerts","CrowdStrike; SentinelOne; Palo Alto Networks"
HirePilot,HR,Subscription,Recruiters,"Resume screening; Candidate ranking; Interview scheduling","Greenhouse; Lever; Workday"
AdMorph,Marketing,Usage-based,Digital marketers,"Ad copy generation; Campaign analytics; A/B testing","HubSpot; Jasper; Copy.ai"
TaskMint,Productivity,Freemium,Remote teams,"Smart task management; Meeting summaries; Workflow automation","Notion; ClickUp; Asana"
TripNova,Travel,Subscription,Frequent travelers,"AI itinerary planning; Price tracking; Smart bookings","Tripadvisor; Hopper; Expedia"
Lexisphere,Legal Tech,Enterprise,Law firms,"Contract analysis; Legal research; Compliance tracking","Harvey AI; Casetext; LexisNexis"
Cartlytics,Ecommerce,Usage-based,Online stores,"Sales forecasting; Customer segmentation; Inventory insights","Shopify; Klaviyo; BigCommerce"
CodeHarbor,Developer Tools,Freemium,Software developers,"API monitoring; Bug tracing; Deployment analytics","Datadog; Sentry; New Relic"
EcoMetric,Climate Tech,Subscription,Sustainability teams,"Carbon tracking; ESG reporting; Emission forecasts","Watershed; Persefoni; Plan A"
FleetZen,Logistics,Enterprise,Logistics companies,"Route optimization; Delivery tracking; Fuel analytics","Flexport; Project44; FourKites"
NestIntel,Real Estate,Subscription,Property agencies,"Property valuation; Lead scoring; Market analysis","Zillow; Redfin; Compass"
AutoFlow AI,AI Automation,Usage-based,SMBs,"Workflow automation; AI agents; CRM syncing","Zapier; Make; UiPath"
CareGrid,Healthcare,Enterprise,Clinics,"Appointment automation; Patient reminders; Medical transcription","Athenahealth; NextGen Healthcare; Kareo"
VaultIQ,Finance,Subscription,Wealth managers,"Portfolio insights; Tax optimization; AI forecasting","Robinhood; Wealthfront; Betterment"
TutorLoop,Education,Freemium,Online learners,"Adaptive quizzes; AI tutoring; Study planning","Khan Academy; Coursera; Duolingo"
PhishGuard,Cybersecurity,Enterprise,IT teams,"Phishing simulation; Employee training; Threat alerts","Proofpoint; Mimecast; KnowBe4"
TalentSync HR,HR,Subscription,Startups,"Onboarding automation; Payroll insights; Performance tracking","BambooHR; Rippling; Deel"
BrandPilot,Marketing,Freemium,Content creators,"Social scheduling; Trend analysis; Caption generation","Buffer; Hootsuite; Later"
FocusHive,Productivity,One-time license,Freelancers,"Distraction blocking; Time analytics; Focus sessions","RescueTime; Todoist; Clockify"
SkyRoute AI,Travel,Usage-based,Travel agencies,"Dynamic pricing; Route prediction; Customer insights","Amadeus; Skyscanner; Sabre"
ClauseMind,Legal Tech,Subscription,Legal consultants,"Document drafting; Clause suggestions; Risk alerts","Ironclad; DocuSign; Lexion"
Sellora,Ecommerce,Freemium,D2C brands,"AI storefront builder; Product recommendations; Conversion analytics","Shopify; Wix; Squarespace"
DevBeacon,Developer Tools,Usage-based,Engineering teams,"Code quality checks; AI debugging; Performance monitoring","GitHub Copilot; LinearB; SonarQube"
CarbonWise,Climate Tech,Enterprise,Manufacturers,"Energy optimization; Sustainability dashboards; Emission analysis","Sweep; Normative; Watershed"
CargoPulse,Logistics,Subscription,Supply chain firms,"Shipment visibility; ETA prediction; Warehouse analytics","SAP; Oracle Logistics; Project44"
EstateFlow,Real Estate,Freemium,Property buyers,"Virtual tours; Price prediction; Mortgage insights","Zillow; Realtor.com; Opendoor"
BotForge AI,AI Automation,Usage-based,Operations teams,"AI workflow builder; Process automation; Chat agents","UiPath; Automation Anywhere; Zapier"
HealthNexus,Healthcare,Subscription,Fitness users,"Health tracking; Nutrition insights; AI wellness coach","MyFitnessPal; Noom; Fitbit"
QuantBridge,Finance,Enterprise,Hedge funds,"Market signals; Quant analytics; AI trading models","Bloomberg; Alpaca; QuantConnect"
LearnMint,Education,Subscription,Schools,"Curriculum planning; AI grading; Student analytics","Google Classroom; Canvas; Blackboard"
SecurePilot,Cybersecurity,Usage-based,SMBs,"Cloud security; Vulnerability scanning; Compliance alerts","Wiz; Orca Security; Lacework"
PeopleNova,HR,Freemium,HR managers,"Employee engagement; AI surveys; Attrition prediction","Culture Amp; Lattice; Gusto"
GrowthMesh,Marketing,Subscription,SaaS startups,"Lead scoring; Funnel analytics; Email automation","HubSpot; Mailchimp; ActiveCampaign"
SyncDesk,Productivity,Freemium,Corporate teams,"Knowledge management; AI search; Team collaboration","Confluence; Notion; Slack"
WanderStack,Travel,Freemium,Digital nomads,"Travel communities; Expense tracking; Visa guidance","Airbnb; Nomad List; Booking.com"
JurisAI,Legal Tech,Enterprise,Corporate legal teams,"Case summarization; Compliance automation; Contract review","Harvey AI; Thomson Reuters; LexisNexis"
MarketLoop,Ecommerce,Subscription,Marketplace sellers,"Dynamic pricing; Ad optimization; Demand forecasting","Amazon Seller Central; Jungle Scout; Helium 10"
StackForge,Developer Tools,Subscription,DevOps teams,"CI/CD analytics; Deployment automation; Error insights","CircleCI; GitLab; Jenkins"
GreenLedger,Climate Tech,Usage-based,ESG consultants,"Carbon audits; Sustainability reports; Climate analytics","Persefoni; Plan A; Emitwise"
RouteSphere,Logistics,Enterprise,Courier companies,"Fleet monitoring; Route planning; Delivery analytics","Onfleet; Bringg; Samsara"
UrbanMetrics,Real Estate,Usage-based,Investors,"Rental yield analysis; AI valuation; Neighborhood insights","Redfin; Zillow; Roofstock"
FlowSync AI,AI Automation,Freemium,Small businesses,"No-code automation; AI assistants; Workflow templates","Zapier; Make; Airtable"
PulseClinic,Healthcare,Subscription,Doctors,"Voice-to-notes; Prescription support; Appointment analytics","Suki AI; DeepScribe; Athenahealth"
LedgerMind,Finance,Freemium,Freelancers,"Expense management; Tax estimation; Invoice automation","QuickBooks; FreshBooks; Wave"
BrainPath,Education,Usage-based,EdTech companies,"Learning analytics; AI assessments; Personalized content","Quizlet; Coursera; Udemy"
ThreatMatrix,Cybersecurity,Enterprise,Security analysts,"SIEM automation; Threat intelligence; Risk dashboards","Splunk; IBM QRadar; CrowdStrike"
HireOrbit,HR,Usage-based,Enterprises,"AI recruitment; Skill matching; Workforce planning","LinkedIn Talent Solutions; Workday; Greenhouse"
AdVista AI,Marketing,Subscription,Ecommerce brands,"Creative generation; Customer targeting; ROI analytics","Canva; Jasper; HubSpot"